# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 3.5
# D = 0.1
# tau_a = 10
# Delta = 0.1
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.689,0.993514,-0.0503498
0.69,0.967487,-0.0273361
0.691,0.997238,-0.0215751
0.692,0.969795,-0.0168248
0.693,0.994663,-0.0460704
0.694,0.96241,-0.0346053
0.695,0.992275,-0.0196744
0.696,0.985222,-0.0162435
0.697,1.00695,-0.0114884
0.698,0.986477,-0.0381874
0.699,0.971952,-0.0378531
0.7,0.959264,-0.0362289
0.701,0.991094,-0.0189407
0.702,0.968702,-0.0131413
0.703,0.999397,-0.0440264
0.704,0.965419,-0.0315687
0.705,0.970481,-0.0145314
0.706,0.986256,-0.0362163
0.707,0.973618,-0.032871
0.708,0.995466,-0.0172377
0.709,0.9983,-0.0362885
0.71,0.989535,-0.0407395
0.711,0.975271,-0.0352657
0.712,0.997839,-0.0232425
0.713,0.996376,-0.028175
0.714,0.990399,-0.0381165
0.715,0.959249,-0.0134761
0.716,1.01397,-0.018242
0.717,0.989381,-0.0243262
0.718,0.971567,-0.0387723
0.719,0.976802,-0.033332
0.72,0.990611,-0.0238015
0.721,0.995615,-0.00165818
0.722,0.951963,-0.029215
0.723,0.99875,-0.0431431
0.724,0.969515,-0.0367096
0.725,0.983274,-0.0198137
0.726,0.976794,-0.0353272
0.727,0.965523,-0.0267064
0.728,0.980882,-0.0355051
0.729,0.983493,-0.0402859
0.73,0.990742,-0.0233711
0.731,0.986233,-0.0209278
0.732,0.992255,-0.008383
0.733,0.975518,-0.0308717
0.734,0.997084,-0.00475891
0.735,0.985179,-0.0350216
0.736,1.00686,-0.0280797
0.737,0.99052,-0.0451569
0.738,0.973147,-0.031844
0.739,0.966645,-0.0598862
0.74,0.973073,-0.010849
0.741,0.995837,-0.0374884
0.742,0.957342,-0.0190823
0.743,0.977594,-0.0386599
0.744,1.00608,-0.0275823
0.745,0.980148,-0.0130656
0.746,0.989507,-0.0449233
0.747,0.981975,-0.0315496
0.748,0.968588,-0.0342101
0.749,0.967048,-0.0387722
0.75,0.991424,-0.0332647
0.751,0.990952,-0.0302638
0.752,0.991482,-0.0279651
0.753,0.97928,-0.0309577
0.754,0.972241,-0.0203735
0.755,0.99776,-0.0351719
0.756,0.992038,-0.0218225
0.757,1.00428,-0.033044
0.758,0.979646,-0.0436396
0.759,0.999967,-0.0373475
0.76,0.979137,-0.0243608
0.761,0.988834,-0.00822588
0.762,0.982986,-0.038475
0.763,0.996487,-0.0281064
0.764,0.989054,-0.0371257
0.765,0.985772,-0.0395905
0.766,0.977049,-0.0370468
0.767,0.976468,-0.0162379
0.768,0.966542,-0.0543735
0.769,0.982948,-0.0461483
0.77,0.996888,-0.0249894
0.771,1.0126,-0.0253744
0.772,0.991557,-0.0348875
0.773,0.976468,-0.0492604
0.774,0.994374,-0.0419055
0.775,1.006,-0.0192842
0.776,0.981296,-0.0621818
0.777,0.989855,-0.0289048
0.778,0.962122,-0.0437293
0.779,0.971442,-0.0162307
0.78,0.99421,-0.0392296
0.781,0.973719,-0.0525649
0.782,1.01584,-0.0228011
0.783,0.958621,-0.0446017
0.784,0.993589,-0.0617952
0.785,0.974185,-0.0181103
0.786,0.980825,-0.0372371
0.787,0.990888,-0.0316606
0.788,0.99689,-0.0480177
0.789,0.985062,-0.0513627
0.79,0.987884,-0.0304725
0.791,0.986085,-0.0177701
0.792,0.985831,-0.0471981
0.793,0.980176,-0.0225379
0.794,0.998141,-0.04982
0.795,0.991574,-0.0377075
0.796,1.01314,-0.0254406
0.797,1.01943,-0.0410758
0.798,0.989394,-0.0373724
0.799,0.993246,-0.052554
0.8,0.986109,-0.0442106
0.801,1.00696,-0.047936
0.802,0.997886,-0.0363602
0.803,1.02893,-0.0200229
0.804,0.992263,-0.027851
0.805,0.97452,-0.0326898
0.806,0.9524,-0.0256745
0.807,0.992748,-0.0489286
0.808,0.993074,-0.0357678
0.809,1.00625,-0.057466
0.81,0.985635,-0.0250479
0.811,1.00435,-0.0719569
0.812,0.983745,-0.0134724
0.813,0.987328,-0.0684156
0.814,0.997825,-0.0411782
0.815,1.00559,-0.0430721
0.816,0.983391,-0.0551706
0.817,1.00701,-0.0418462
0.818,1.00157,-0.0223331
