# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.01
# f_low = 0
# f_high = 500
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.917,23.4149,-27.0565
0.918,-75.6818,-0.91115
0.919,-25.8797,81.7293
0.92,75.9058,-72.7462
0.921,-55.3033,12.5985
0.922,75.6555,-100.39
0.923,50.9094,6.26394
0.924,101.368,217.845
0.925,-37.7869,-32.4841
0.926,8.81304,8.75599
0.927,85.9837,175.6
0.928,-19.8072,-40.3144
0.929,-73.5154,8.9946
0.93,-14.7051,-71.524
0.931,71.8538,-84.1089
0.932,162.402,110.995
0.933,-142.006,107.769
0.934,73.4629,36.1397
0.935,-89.4326,255.889
0.936,-18.3614,9.27451
0.937,140.98,-41.2784
0.938,-48.6711,-173.092
0.939,-13.5443,-11.9739
0.94,19.6951,225.414
0.941,-44.158,35.3646
0.942,112.376,-67.3299
0.943,33.8434,-22.9839
0.944,20.4754,129.99
0.945,29.8462,-139.77
0.946,-11.9224,37.8137
0.947,54.2392,-32.0856
