# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.508,7.0888e-05,-1.33978e-05
0.509,4.26236e-05,0.000106301
0.51,5.83065e-05,4.19274e-05
0.511,4.18062e-05,1.12848e-06
0.512,6.76425e-05,0.00013353
0.513,0.00013268,0.000169709
0.514,8.47336e-05,3.61718e-06
0.515,-2.39884e-05,0.000111648
0.516,7.113e-05,0.000169891
0.517,9.09886e-05,4.98045e-05
0.518,0.000111468,0.00016078
0.519,0.000112035,4.14175e-05
0.52,0.000155513,0.000111067
0.521,0.000198106,5.25518e-05
0.522,0.000130053,6.59366e-05
0.523,0.000104293,-4.37797e-05
0.524,0.000128024,0.000196502
0.525,6.1627e-05,3.93896e-05
0.526,1.30501e-05,0.000115876
0.527,0.00010109,3.02508e-05
0.528,3.1392e-05,-2.09797e-05
0.529,7.90326e-05,4.10286e-05
0.53,8.02265e-05,-2.40859e-05
0.531,8.39007e-05,0.000122074
0.532,2.17506e-05,0.000115436
0.533,0.000150358,6.53612e-05
0.534,-2.87432e-06,7.62213e-05
0.535,1.19704e-05,-7.56319e-05
0.536,7.88988e-05,2.80223e-05
0.537,8.16863e-05,0.000136944
0.538,6.29714e-05,0.000119553
0.539,0.000116056,0.000113617
0.54,0.000272827,2.15517e-05
0.541,0.000172772,0.000149707
0.542,9.87416e-05,-6.01251e-05
0.543,-6.3214e-06,8.72756e-05
0.544,9.79062e-05,4.35088e-05
0.545,-2.61093e-05,-6.7229e-06
0.546,7.18624e-05,9.50327e-05
0.547,0.00010519,7.68154e-05
0.548,2.52034e-06,2.601e-05
0.549,-7.03508e-06,1.64934e-05
0.55,-4.69111e-06,7.75603e-05
0.551,-0.000105352,0.000100542
0.552,0.00013575,-2.56208e-05
0.553,0.000133016,9.39149e-05
0.554,6.00449e-05,-7.83854e-06
0.555,1.23349e-05,9.64766e-05
0.556,2.09822e-05,5.85325e-06
0.557,0.000161752,6.54685e-05
0.558,2.36363e-05,8.74877e-05
0.559,7.70095e-05,5.70529e-05
0.56,3.65949e-05,-7.26343e-05
0.561,8.61508e-05,-1.51943e-05
0.562,6.49841e-05,3.30537e-05
0.563,-5.75878e-07,-1.66519e-05
0.564,8.30042e-05,3.17213e-05
0.565,-5.23322e-05,9.31668e-05
0.566,-4.09832e-05,5.69108e-05
0.567,0.00022399,-3.5274e-05
0.568,-2.88436e-05,-0.000129808
0.569,9.61971e-05,4.69693e-05
0.57,0.000107138,0.000142429
0.571,-3.22971e-05,6.39278e-05
0.572,1.1822e-05,9.39141e-05
0.573,8.69226e-06,-3.91575e-05
0.574,6.24681e-05,0.000117417
0.575,5.89213e-05,7.85504e-06
0.576,7.05508e-05,7.4348e-05
0.577,-0.000105354,-4.38798e-05
0.578,3.69304e-05,4.28321e-05
0.579,6.09821e-05,-2.64905e-06
0.58,-2.47243e-05,4.3369e-05
0.581,8.01321e-05,-3.21929e-05
0.582,7.2828e-05,1.63404e-05
0.583,9.02018e-05,6.30286e-05
0.584,2.61808e-05,6.78569e-05
0.585,2.90468e-05,3.51467e-05
0.586,0.000166832,9.94027e-06
0.587,0.000133229,3.30683e-07
0.588,9.63168e-05,-7.55949e-05
0.589,0.0001227,5.15004e-05
0.59,0.000117622,3.45945e-06
0.591,0.000127877,-3.22017e-05
0.592,7.05698e-05,-5.38368e-05
0.593,0.00013757,-1.70435e-05
0.594,4.11339e-05,1.95681e-05
0.595,-1.41944e-06,-9.86008e-05
0.596,6.28394e-05,7.55444e-05
0.597,8.42076e-05,1.88214e-05
0.598,3.30398e-05,-8.42424e-05
0.599,-5.74843e-06,-4.9976e-05
0.6,-1.84061e-05,-3.69093e-05
0.601,8.48165e-05,2.86898e-05
0.602,5.21008e-05,6.147e-05
0.603,4.34604e-05,7.51455e-05
0.604,2.18946e-05,-4.39168e-05
0.605,-1.5905e-05,0.000113998
0.606,-7.98441e-05,3.04109e-06
0.607,-3.21774e-05,5.83135e-05
0.608,5.17436e-05,9.42708e-05
